Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,230.539993,235.259995,225.000000,232.880005,231.592026,39300
2020-05-05,235.000000,240.990005,230.759995,233.639999,232.347824,42500
2020-05-06,239.990005,243.960007,235.199997,239.889999,238.563232,51600
2020-05-07,243.490005,243.490005,230.250000,230.500000,229.225174,54200
2020-05-08,235.000000,242.710007,232.889999,240.960007,239.627335,51000
2020-05-11,241.000000,242.880005,237.000000,237.490005,236.176544,32600
2020-05-12,241.050003,241.580002,232.080002,232.080002,230.796432,38500
2020-05-13,231.720001,233.770004,227.380005,227.559998,226.301437,45700
2020-05-14,225.000000,229.570007,221.149994,229.570007,228.300323,30400
2020-05-15,228.970001,234.990005,225.279999,227.009995,225.754486,25000
2020-05-18,232.000000,239.000000,230.770004,236.750000,235.440613,33700
2020-05-19,237.580002,239.000000,232.929993,232.929993,231.641739,28900
2020-05-20,237.009995,238.500000,233.440002,238.039993,236.723465,27700
2020-05-21,238.100006,238.100006,233.610001,234.740005,233.441742,17900
2020-05-22,234.000000,237.949997,231.860001,236.589996,235.281509,19800
2020-05-26,240.000000,244.229996,237.850006,241.460007,240.124573,36100
2020-05-27,244.190002,251.509995,243.100006,250.539993,249.154358,35600
2020-05-28,254.000000,256.070007,246.919998,246.919998,245.554352,31300
2020-05-29,245.250000,248.449997,238.500000,243.429993,242.083664,40400
2020-06-01,243.000000,253.000000,243.000000,243.539993,242.193054,35600
2020-06-02,246.470001,250.000000,243.000000,243.009995,241.665985,32500
2020-06-03,246.539993,250.979996,243.000000,243.520004,242.173157,46500
2020-06-04,244.229996,245.500000,240.509995,242.449997,241.109070,41400
2020-06-05,245.850006,246.509995,241.600006,242.949997,241.606308,52300
2020-06-08,247.850006,247.850006,243.000000,243.720001,242.372070,41000
2020-06-09,243.000000,245.000000,240.759995,242.800003,241.457153,46000
2020-06-10,242.330002,245.000000,238.740005,240.000000,238.672638,34300
2020-06-11,231.550003,238.199997,220.000000,221.529999,220.304779,66100
2020-06-12,231.399994,233.979996,225.720001,231.820007,230.537872,57900
2020-06-15,226.990005,237.589996,226.910004,237.389999,236.077087,36700
2020-06-16,241.990005,244.800003,237.000000,241.380005,240.045013,46900
2020-06-17,241.779999,242.149994,239.500000,240.029999,238.702454,20000
2020-06-18,238.039993,243.830002,238.039993,243.830002,242.481461,21600
2020-06-19,245.000000,247.449997,240.270004,240.270004,238.941116,59200
2020-06-22,239.360001,241.779999,233.149994,234.910004,233.610794,29900
2020-06-23,237.809998,237.899994,233.529999,233.750000,232.457184,28100
2020-06-24,232.880005,234.000000,228.759995,230.440002,229.165527,35300
2020-06-25,228.369995,231.990005,226.979996,231.990005,230.706955,29400
2020-06-26,231.300003,232.000000,220.199997,221.270004,220.046234,50800
2020-06-29,225.130005,235.000000,224.660004,231.809998,230.527924,36300
2020-06-30,230.600006,233.000000,228.399994,229.190002,227.922424,19700
2020-07-01,230.250000,233.990005,229.000000,229.610001,228.340103,27500
2020-07-02,231.839996,233.020004,230.009995,230.009995,228.737885,25400
2020-07-06,233.110001,234.990005,231.720001,234.279999,232.984253,33400
2020-07-07,232.259995,234.449997,230.940002,231.309998,230.030701,25200
2020-07-08,232.419998,232.419998,228.000000,230.500000,229.225174,21500
2020-07-09,228.660004,228.789993,222.360001,223.000000,221.766678,36300
2020-07-10,224.610001,228.820007,223.050003,225.860001,224.610840,41300
2020-07-13,227.820007,228.210007,224.000000,225.660004,224.411942,39600
2020-07-14,225.960007,228.949997,224.220001,227.960007,226.699234,35200
2020-07-15,229.649994,232.300003,228.000000,229.009995,227.743423,29200
2020-07-16,229.919998,229.919998,226.000000,227.500000,226.241760,24200
2020-07-17,226.949997,233.639999,226.949997,230.380005,229.105850,39400
2020-07-20,230.490005,233.410004,227.000000,227.000000,225.744522,43600
2020-07-21,227.619995,231.350006,226.009995,226.660004,225.406433,40200
2020-07-22,225.589996,228.479996,225.589996,227.589996,226.331284,47200
2020-07-23,228.639999,228.639999,226.000000,228.539993,227.525955,52000
2020-07-24,229.029999,233.500000,227.960007,230.279999,229.258224,43100
2020-07-27,230.729996,236.000000,229.720001,234.389999,233.349991,50300
2020-07-28,234.210007,235.210007,230.559998,230.559998,229.536987,31600
2020-07-29,231.179993,236.639999,230.610001,231.229996,230.204010,34900
2020-07-30,230.190002,232.220001,226.289993,227.000000,225.992767,32600
2020-07-31,228.410004,230.690002,226.000000,229.559998,228.541428,51700
2020-08-03,232.240005,232.240005,227.169998,228.809998,227.794754,51500
2020-08-04,228.229996,231.509995,227.089996,228.240005,227.227280,43400
2020-08-05,232.320007,280.000000,232.300003,269.000000,267.806427,142600
2020-08-06,266.130005,266.130005,255.000000,258.029999,256.885101,57100
2020-08-07,256.130005,266.570007,255.449997,263.220001,262.052094,42000
2020-08-10,263.200012,276.179993,260.339996,274.910004,273.690186,75800
2020-08-11,275.970001,282.500000,269.429993,271.119995,269.917023,42500
2020-08-12,272.179993,278.820007,272.179993,272.790009,271.579651,40800
2020-08-13,271.000000,277.500000,271.000000,274.320007,273.102814,36800
2020-08-14,273.230011,281.089996,273.149994,276.480011,275.253265,29700
2020-08-17,275.420013,275.420013,270.980011,272.779999,271.569641,23600
2020-08-18,272.000000,274.140015,268.209991,272.700012,271.490021,33100
2020-08-19,271.839996,275.109985,270.679993,272.779999,271.569641,31900
2020-08-20,271.190002,273.899994,268.440002,270.549988,269.349518,23000
2020-08-21,271.049988,271.049988,264.429993,267.390015,266.203552,90700
2020-08-24,268.000000,278.829987,267.989990,277.459991,276.228882,29200
2020-08-25,276.000000,277.779999,272.570007,274.589996,273.371613,23700
2020-08-26,275.339996,275.339996,272.730011,273.839996,272.624939,22500
2020-08-27,273.910004,279.809998,273.910004,275.209991,273.988861,20700
2020-08-28,279.279999,279.279999,276.540009,278.489990,277.254303,18500
2020-08-31,278.149994,278.559998,272.660004,273.299988,272.087311,39600
2020-09-01,271.679993,276.459991,271.679993,274.410004,273.192413,30800
2020-09-02,274.579987,285.940002,274.579987,282.809998,281.555145,41000
2020-09-03,282.640015,282.640015,273.200012,276.809998,275.581757,31400
2020-09-04,278.279999,279.359985,271.269989,275.290009,274.068512,27600
2020-09-08,273.649994,273.649994,267.579987,269.690002,268.493378,26900
2020-09-09,270.290009,276.000000,269.769989,275.309998,274.088409,31200
2020-09-10,277.029999,279.390015,271.000000,271.000000,269.797546,19500
2020-09-11,270.959991,274.820007,266.470001,269.100006,267.905945,27100
2020-09-14,269.250000,271.209991,265.160004,265.399994,264.222382,29500
2020-09-15,266.410004,268.220001,259.649994,260.299988,259.144958,28300
2020-09-16,260.299988,260.609985,253.580002,254.729996,253.599731,23100
2020-09-17,251.500000,252.419998,248.259995,249.490005,248.383011,21700
2020-09-18,251.309998,254.270004,242.789993,244.619995,243.534576,71800
2020-09-21,241.350006,241.350006,233.580002,236.300003,235.251526,34600
2020-09-22,236.389999,241.089996,236.389999,239.309998,238.248154,19100
2020-09-23,239.910004,243.669998,230.240005,230.240005,229.218414,26500
2020-09-24,231.850006,243.429993,230.000000,239.729996,238.666306,38500
2020-09-25,238.009995,240.850006,236.360001,240.160004,239.094391,15400
2020-09-28,242.960007,250.000000,241.110001,241.110001,240.040192,27000
2020-09-29,241.720001,243.740005,237.710007,238.979996,237.919601,14200
2020-09-30,239.110001,241.740005,236.630005,240.679993,239.612076,26800
2020-10-01,241.020004,241.259995,234.009995,239.309998,238.248154,29700
2020-10-02,235.839996,242.669998,235.839996,242.600006,241.523575,24900
2020-10-05,244.500000,244.759995,239.800003,242.600006,241.523575,13700
2020-10-06,243.649994,244.550003,237.190002,242.619995,241.543442,40300
